iter	RMSE
0	0.2141411082
1	0.2121169971
2	0.2105086281
3	0.2090331309
4	0.2079097836
5	0.206781422
6	0.2059818917
7	0.2050716239
8	0.2044536783
9	0.203792131
10	0.203219389
11	0.2027705695
12	0.2023713636
13	0.2019795287
14	0.2016187433
15	0.201333295
16	0.2010167804
17	0.200644375
18	0.2002978216
19	0.2000086362
20	0.1997670382
21	0.199558494
22	0.1992183406
23	0.198987021
24	0.1988074869
25	0.1986123217
26	0.1983994901
27	0.1982616838
28	0.1980478786
29	0.1978343406
30	0.1976502171
31	0.1974499692
32	0.1972683202
33	0.1970902197
34	0.1969116935
35	0.1967334522
36	0.1965063471
37	0.1963010724
38	0.1960998828
39	0.195927184
40	0.1957779482
41	0.19559751
42	0.1954671849
43	0.1953587162
44	0.1952016875
45	0.195090231
46	0.1949528241
47	0.1948732834
48	0.1947601046
49	0.1945922781
50	0.1945090313
51	0.194364374
52	0.1942733103
53	0.1941954582
54	0.1941170198
55	0.1939943859
56	0.1939151606
57	0.1937838188
58	0.1937157435
59	0.1936359762
60	0.1935537942
61	0.1934422508
62	0.1933769334
63	0.1932553525
64	0.1932025751
65	0.1931139502
66	0.1929986887
67	0.1929243413
68	0.1928226306
69	0.1927456361
70	0.1926719831
71	0.1926356103
72	0.1925469116
73	0.192461732
74	0.1923877493
75	0.1923031704
76	0.1921942035
77	0.1921209285
78	0.1920221231
79	0.1919444331
80	0.1918675521
81	0.1918031227
82	0.1917208454
83	0.1916705092
84	0.1916193347
85	0.1915548237
86	0.1914717365
87	0.1913745905
88	0.19130141
89	0.1912307611
90	0.1911046376
91	0.191006714
92	0.190917688
93	0.1908418903
94	0.1907886517
95	0.1907208899
96	0.1906023013
97	0.1904666038
98	0.1904114782
99	0.1902905586
100	0.1902262638
101	0.1901302492
102	0.1901040793
103	0.189999071
104	0.189906357
105	0.1897818986
106	0.1897688163
107	0.1897333111
108	0.189597673
109	0.1894431362
110	0.1894271473
111	0.1893635881
112	0.1891795504
113	0.1890871868
114	0.1889947445
115	0.1888716017
116	0.1888249551
117	0.1887456789
118	0.1887202416
119	0.1886590101
120	0.1885209173
121	0.188390476
122	0.1883756796
123	0.1882651513
124	0.188164526
125	0.1881523689
126	0.1880523848
