iter	Passed	Remaining
0	17	17124
1	32	16372
2	47	15775
3	61	15361
4	76	15278
5	91	15114
6	105	14948
7	120	14891
8	133	14749
9	149	14775
10	163	14713
11	178	14672
12	191	14513
13	206	14521
14	220	14499
15	236	14525
16	249	14441
17	264	14426
18	279	14408
19	293	14385
20	309	14406
21	323	14378
22	338	14371
23	352	14321
24	366	14302
25	380	14264
26	395	14252
27	408	14194
28	423	14170
29	437	14152
30	452	14129
31	466	14098
32	478	14030
33	492	14005
34	507	13989
35	521	13962
36	535	13947
37	551	13960
38	566	13948
39	580	13927
40	594	13910
41	609	13911
42	623	13882
43	637	13845
44	651	13836
45	667	13834
46	681	13823
47	695	13792
48	709	13779
49	724	13772
50	738	13745
51	753	13737
52	767	13711
53	782	13699
54	796	13678
55	810	13664
56	825	13660
57	839	13641
58	852	13597
59	866	13572
60	879	13540
61	894	13533
62	907	13502
63	921	13479
64	935	13458
65	949	13437
66	964	13432
67	979	13418
68	993	13402
69	1007	13391
70	1022	13384
71	1036	13359
72	1050	13341
73	1064	13320
74	1077	13285
75	1091	13274
76	1105	13254
77	1119	13237
78	1134	13227
79	1147	13201
80	1161	13178
81	1176	13171
82	1191	13165
83	1205	13148
84	1219	13132
85	1233	13112
86	1247	13093
87	1262	13085
88	1276	13067
89	1290	13046
90	1304	13031
91	1319	13019
92	1333	13007
93	1348	12998
94	1362	12981
95	1377	12975
96	1393	12972
97	1407	12958
98	1422	12944
99	1435	12921
100	1450	12910
101	1465	12904
102	1477	12866
103	1492	12855
104	1506	12842
105	1522	12838
106	1535	12814
107	1549	12794
108	1563	12780
109	1577	12767
110	1590	12739
111	1604	12720
112	1619	12716
113	1635	12709
114	1649	12694
115	1663	12680
116	1678	12668
117	1693	12661
118	1708	12646
119	1721	12626
120	1736	12617
121	1751	12603
122	1765	12585
123	1779	12572
124	1794	12564
125	1807	12534
126	1822	12526
127	1837	12518
128	1852	12509
129	1866	12492
130	1881	12482
131	1895	12467
132	1909	12447
133	1922	12421
134	1936	12406
135	1950	12392
136	1965	12380
137	1978	12356
138	1992	12344
139	2008	12336
140	2022	12319
141	2035	12298
142	2050	12291
143	2064	12273
144	2079	12260
145	2093	12248
146	2108	12237
147	2121	12213
148	2135	12197
149	2150	12186
150	2164	12168
151	2178	12153
152	2190	12126
153	2204	12107
154	2219	12097
155	2234	12087
156	2248	12074
157	2262	12056
158	2276	12040
159	2289	12018
160	2303	12004
161	2317	11986
162	2331	11972
163	2345	11958
164	2360	11947
165	2375	11933
166	2389	11918
167	2403	11902
168	2417	11887
169	2431	11872
170	2446	11861
171	2461	11847
172	2475	11834
173	2490	11824
174	2504	11806
175	2518	11792
176	2532	11776
177	2545	11753
178	2560	11742
179	2575	11730
180	2589	11715
181	2603	11701
182	2618	11690
183	2633	11678
184	2647	11662
185	2661	11645
186	2676	11634
187	2688	11612
188	2703	11599
189	2716	11581
190	2730	11567
191	2743	11547
192	2759	11537
193	2773	11523
194	2787	11506
195	2801	11492
196	2815	11476
197	2830	11464
198	2844	11451
199	2857	11430
200	2870	11412
201	2883	11391
202	2896	11373
203	2911	11361
204	2926	11349
205	2941	11337
206	2956	11325
207	2970	11311
208	2985	11300
209	2999	11283
210	3013	11268
211	3026	11251
212	3041	11238
213	3055	11223
214	3069	11206
215	3083	11190
216	3097	11176
217	3110	11156
218	3125	11145
219	3140	11134
220	3154	11120
221	3169	11107
222	3183	11093
223	3197	11076
224	3211	11063
225	3226	11049
226	3239	11031
227	3252	11013
228	3266	10996
229	3279	10978
230	3293	10963
231	3308	10951
232	3323	10939
233	3337	10926
234	3351	10908
235	3364	10892
236	3378	10877
237	3393	10863
238	3406	10846
239	3420	10831
240	3434	10817
241	3448	10802
242	3463	10789
243	3478	10778
244	3492	10762
245	3506	10747
246	3521	10735
247	3534	10716
248	3548	10701
249	3562	10686
250	3577	10676
251	3590	10656
252	3603	10640
253	3618	10626
254	3631	10610
255	3646	10597
256	3658	10577
257	3672	10560
258	3685	10545
259	3699	10530
260	3713	10514
261	3726	10497
262	3740	10482
263	3754	10468
264	3769	10453
265	3783	10440
266	3797	10426
267	3812	10413
268	3826	10397
269	3839	10380
270	3852	10364
271	3866	10347
272	3879	10331
273	3893	10315
274	3906	10299
275	3921	10286
276	3935	10270
277	3949	10258
278	3963	10241
279	3977	10227
280	3992	10214
281	4005	10199
282	4020	10185
283	4034	10170
284	4048	10155
285	4061	10139
286	4075	10125
287	4089	10111
288	4104	10097
289	4118	10083
290	4133	10070
291	4145	10051
292	4159	10036
293	4172	10020
294	4186	10005
295	4200	9989
296	4213	9972
297	4228	9960
298	4241	9944
299	4255	9930
300	4269	9913
301	4282	9896
302	4293	9875
303	4305	9857
304	4317	9838
305	4329	9818
306	4341	9800
307	4355	9785
308	4370	9772
309	4383	9755
310	4395	9736
311	4408	9721
312	4423	9708
313	4436	9692
314	4449	9675
315	4462	9659
316	4476	9645
317	4491	9632
318	4506	9619
319	4520	9605
320	4533	9589
321	4547	9575
322	4562	9563
323	4575	9545
324	4588	9529
325	4600	9511
326	4612	9493
327	4626	9478
328	4639	9462
329	4654	9450
330	4668	9435
331	4682	9420
332	4695	9405
333	4709	9391
334	4722	9375
335	4736	9360
336	4749	9343
337	4762	9327
338	4776	9313
339	4790	9298
340	4804	9284
341	4816	9267
342	4830	9253
343	4845	9239
344	4859	9226
345	4872	9209
346	4885	9192
347	4899	9180
348	4914	9166
349	4928	9153
350	4944	9142
351	4958	9127
352	4972	9114
353	4986	9100
354	5000	9086
355	5014	9071
356	5027	9054
357	5038	9036
358	5053	9023
359	5068	9010
360	5082	8995
361	5096	8982
362	5111	8969
363	5125	8955
364	5139	8940
365	5153	8926
366	5165	8910
367	5179	8894
368	5192	8879
369	5206	8865
370	5220	8850
371	5235	8838
372	5249	8823
373	5263	8809
374	5276	8794
375	5287	8775
376	5299	8758
377	5313	8743
378	5328	8730
379	5342	8716
380	5354	8699
381	5367	8682
382	5382	8670
383	5394	8654
384	5405	8635
385	5421	8623
386	5435	8609
387	5450	8597
388	5464	8583
389	5478	8569
390	5493	8556
391	5506	8540
392	5521	8528
393	5535	8513
